year,value
1959,0.96
1960,0.71
1961,0.78
1962,0.56
1963,0.57
1964,0.49
1965,1.1
1966,1.1
1967,0.61
1968,0.99
1969,1.32
1970,1.13
1971,0.73
1972,1.47
1973,1.46
1974,0.68
1975,1.23
1976,0.97
1977,1.92
1978,1.29
1979,2.14
1980,1.71
1981,1.15
1982,1
1983,1.83
1984,1.23
1985,1.65
1986,1.02
1987,2.65
1988,2.16
1989,1.46
1990,1.22
1991,0.75
1992,0.72
1993,1.23
1994,1.66
1995,2
1996,1.05
1997,1.97
1998,2.84
1999,1.33
2000,1.25
2001,1.84
2002,2.38
2003,2.28
2004,1.56
2005,2.46
2006,1.77
2007,2.12
2008,1.78
2009,1.58
2010,2.41
2011,1.68
2012,2.41
2013,2.45
2014,2.04
2015,2.95
2016,2.83
2017,2.11
2018,2.42
2019,2.52
2020,2.35
2021,2.5
2022,2.31
2023,2.74
