year,value
1978,12.673
1979,12.328
1980,12.337
1981,12.127
1982,12.447
1983,12.332
1984,11.91
1985,11.995
1986,12.203
1987,12.135
1988,11.923
1989,11.967
1990,11.694
1991,11.749
1992,12.11
1993,11.923
1994,12.011
1995,11.415
1996,11.841
1997,11.668
1998,11.757
1999,11.691
2000,11.508
2001,11.6
2002,11.363
2003,11.397
2004,11.24
2005,10.907
2006,10.773
2007,10.474
2008,10.978
2009,10.932
2010,10.711
2011,10.483
2012,10.406
2013,10.897
2014,10.79
2015,10.566
2016,10.163
2017,10.393
2018,10.355
2019,10.201
2020,10.15
2021,10.552
2022,10.661
2023,10.47
2024,14.379
